description,department,priority
Residents report that a streetlight remains switched off after sunset near the bus stop at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Electricity,Low
People living nearby explain that the water pipeline has burst at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Water,Medium
The local community has noticed that a transformer is making loud sparks near the residential block at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Electricity,Medium
"A citizen complaint states that the community bins are overflowing with household waste at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
Several people have informed the ward office that the bridge near the neighborhood has collapsed at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Road,Low
The local community has noticed that there is garbage piled up near the houses at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Waste,Medium
"Several people have informed the ward office that the bridge near the neighborhood has collapsed at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
"The local community has noticed that the entire street has had no water supply since yesterday at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
"A citizen complaint states that the road surface becomes slippery and uneven after rain at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Road,Critical
"The local community has noticed that the traffic signal is malfunctioning at the busy crossing at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
"Several people have informed the ward office that a transformer is making loud sparks near the residential block at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
"Residents report that mixed waste is being burned near the apartment entrance at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Waste,Critical
"The local community has noticed that the traffic signal is malfunctioning at the busy crossing at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
"Several people have informed the ward office that a large crack is spreading across the carriageway at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Road,Critical
"A citizen complaint states that the bridge railing is broken and creates a fall hazard at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Road,Low
"Several people have informed the ward office that a transformer is making loud sparks near the residential block at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
"A citizen complaint states that the community bins are overflowing with household waste at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"A citizen complaint states that the power supply has been interrupted across several houses at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
"Residents report that the pedestrian footpath is damaged and difficult to use at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Road,Critical
Several people have informed the ward office that the waste collection has been missed at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Waste,Low
"The local community has noticed that the neighborhood has repeated voltage fluctuations every evening at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
"Several people have informed the ward office that a large crack is spreading across the carriageway at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Road,Critical
The local community has noticed that the road has a large pothole at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Road,Medium
"Residents report that a deep pothole has formed in the lane at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
A citizen complaint states that a major pipeline has burst and water is flooding the road at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Water,Low
"Residents report that a water pipeline is leaking continuously beside the houses at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Water,High
"Residents report that sewage is overflowing from a blocked drain near homes at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
People living nearby explain that a fallen tree is blocking vehicles and emergency access at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Road,Low
"The local community has noticed that the traffic signal is malfunctioning at the busy crossing at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Road,Low
"A citizen complaint states that the community bins are overflowing with household waste at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Waste,Low
"Residents report that a streetlight remains switched off after sunset near the bus stop at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
"The local community has noticed that there is garbage piled up near the houses at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Waste,Critical
"People living nearby explain that waterlogging remains after rain because the drain is blocked at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Water,High
Several people have informed the ward office that the waste collection vehicle has missed several scheduled visits at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Waste,Medium
"The local community has noticed that there is no electricity in our street at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
"A citizen complaint states that there is no electricity in our street at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
"People living nearby explain that a large pile of rubbish is attracting stray animals and insects at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Waste,Low
"Residents report that garbage has not been collected from the residential lane at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"People living nearby explain that an illegal dumping site is spreading beside the road at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Waste,Critical
"The local community has noticed that plastic litter and refuse are blocking the public walkway at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"Several people have informed the ward office that the bridge near the neighborhood has collapsed at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
"The local community has noticed that the neighborhood has a complete power outage at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
People living nearby explain that the asphalt has collapsed across one side of the road at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Road,Medium
Several people have informed the ward office that the waste collection vehicle has missed several scheduled visits at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Waste,Medium
Several people have informed the ward office that a large crack is spreading across the carriageway at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Road,Medium
"A citizen complaint states that a major pipeline has burst and water is flooding the road at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Water,High
"Residents report that garbage has not been collected from the residential lane at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Waste,Low
The local community has noticed that there is garbage piled up near the houses at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Waste,Medium
Several people have informed the ward office that the neighborhood has repeated voltage fluctuations every evening at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Electricity,Medium
"Several people have informed the ward office that the waste collection has been missed at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
Residents report that mixed waste is being burned near the apartment entrance at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Waste,Medium
"The local community has noticed that the public tap is dry and residents cannot collect water at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Water,Low
"People living nearby explain that an illegal dumping site is spreading beside the road at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Waste,Critical
A citizen complaint states that street lights have stopped working along the main road at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Electricity,Medium
"The local community has noticed that plastic litter and refuse are blocking the public walkway at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"Several people have informed the ward office that the bridge near the neighborhood has collapsed at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Road,Low
"Several people have informed the ward office that the waste collection has been missed at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
Several people have informed the ward office that a transformer is making loud sparks near the residential block at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Electricity,Medium
"The local community has noticed that a transformer is making loud sparks near the residential block at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
Residents report that sewage is overflowing from a blocked drain near homes at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Water,Medium
"Several people have informed the ward office that there is no water in the neighborhood at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Water,High
"Residents report that the neighborhood has a complete power outage at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
People living nearby explain that waterlogging remains after rain because the drain is blocked at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Water,Low
"The local community has noticed that the entire street has had no water supply since yesterday at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
A citizen complaint states that a pipe joint is dripping and has damaged the nearby pavement at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Water,Medium
People living nearby explain that an illegal dumping site is spreading beside the road at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Waste,Medium
The local community has noticed that the entire street has had no water supply since yesterday at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Water,Medium
"Several people have informed the ward office that there is no power in the house at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
Residents report that sewage is overflowing from a blocked drain near homes at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Water,Medium
Several people have informed the ward office that the neighborhood has a complete power outage at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Electricity,Medium
"A citizen complaint states that street lights have stopped working along the main road at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
"People living nearby explain that an illegal dumping site is spreading beside the road at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Waste,Critical
"Residents report that sewage is overflowing from a blocked drain near homes at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
"People living nearby explain that a large pile of rubbish is attracting stray animals and insects at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"People living nearby explain that the water pipeline has burst at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
"People living nearby explain that a large pile of rubbish is attracting stray animals and insects at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"A citizen complaint states that the sanitation area has a persistent foul smell and scattered trash at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Waste,Critical
"Several people have informed the ward office that dirty water is entering houses through the damaged main at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
"The local community has noticed that the public tap is dry and residents cannot collect water at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Water,High
"Several people have informed the ward office that a large crack is spreading across the carriageway at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Road,Critical
"The local community has noticed that an exposed cable is hanging dangerously beside the school gate at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
Residents report that there is no electricity in our street at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Electricity,Medium
"People living nearby explain that a fallen tree is blocking vehicles and emergency access at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Road,Low
"Several people have informed the ward office that the waste collection has been missed at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"People living nearby explain that a fallen tree is blocking vehicles and emergency access at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
The local community has noticed that the entire street has had no water supply since yesterday at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Water,Medium
"Residents report that sewage is overflowing from a blocked drain near homes at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
"Several people have informed the ward office that there is no water in the neighborhood at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Water,Low
"A citizen complaint states that a pipe joint is dripping and has damaged the nearby pavement at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
"People living nearby explain that there is no power in the house at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
Residents report that a deep pothole has formed in the lane at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Road,Low
"A citizen complaint states that the community bins are overflowing with household waste at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Waste,Low
A citizen complaint states that the bridge railing is broken and creates a fall hazard at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Road,Low
"A citizen complaint states that the bridge railing is broken and creates a fall hazard at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
People living nearby explain that the water pipeline has burst at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Water,Medium
"The local community has noticed that the public tap is dry and residents cannot collect water at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Water,High
The local community has noticed that the public tap is dry and residents cannot collect water at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Water,Low
Residents report that the pedestrian footpath is damaged and difficult to use at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Road,Medium
Residents report that a broken electric pole is leaning over the public footpath at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Electricity,Low
People living nearby explain that the asphalt has collapsed across one side of the road at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Road,Medium
A citizen complaint states that a major pipeline has burst and water is flooding the road at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Water,Low
"People living nearby explain that an exposed cable is hanging dangerously beside the school gate at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
"The local community has noticed that the traffic signal is not receiving electricity at the junction at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
The local community has noticed that the road has a large pothole at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Road,Medium
"The local community has noticed that there is no power in the house at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
"Several people have informed the ward office that there is no power in the house at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
The local community has noticed that there is garbage piled up near the houses at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Waste,Medium
Residents report that there is no power in the house at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Electricity,Medium
"Several people have informed the ward office that the neighborhood has repeated voltage fluctuations every evening at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
A citizen complaint states that the neighborhood has repeated voltage fluctuations every evening at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Electricity,Low
"The local community has noticed that there is no power in the house at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Electricity,Critical
A citizen complaint states that the bridge railing is broken and creates a fall hazard at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Road,Low
A citizen complaint states that the sanitation area has a persistent foul smell and scattered trash at the market road. A moderate number of residents are inconvenienced and a repair is needed soon. The exact location is marked on the complaint map for the response team.,Waste,Medium
"People living nearby explain that a large pile of rubbish is attracting stray animals and insects at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"A citizen complaint states that the neighborhood has repeated voltage fluctuations every evening at Ward 12. The problem is severe, affects many households, and is blocking normal public movement. Children, older people, and daily commuters are particularly affected by the condition.",Electricity,High
"The local community has noticed that plastic litter and refuse are blocking the public walkway at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
"Several people have informed the ward office that dirty water is entering houses through the damaged main at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
"Residents report that the pedestrian footpath is damaged and difficult to use at the junction. The hazard is life threatening and should be handled before routine complaints. Nearby residents are requesting inspection, repair, and a status update.",Road,Critical
"People living nearby explain that a fallen tree is blocking vehicles and emergency access at the bus stand. Residents report substantial disruption and request urgent municipal intervention today. Children, older people, and daily commuters are particularly affected by the condition.",Road,High
"Residents report that a deep pothole has formed in the lane at Ward 12. The issue is minor, affects a small area, and does not present an immediate danger. The problem is clearly visible and has been reported with supporting photographs.",Road,Low
"Residents report that sewage is overflowing from a blocked drain near homes at the apartment lane. This is an emergency with an immediate threat to life or serious injury and requires rapid response. Nearby residents are requesting inspection, repair, and a status update.",Water,Critical
Residents report that mixed waste is being burned near the apartment entrance at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Waste,Medium
The local community has noticed that a streetlight remains switched off after sunset near the bus stop at the junction. The service is unreliable and residents are requesting attention within the normal response period. The exact location is marked on the complaint map for the response team.,Electricity,Medium
People living nearby explain that street lights have stopped working along the main road at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Electricity,Low
"Several people have informed the ward office that the waste collection has been missed at the school entrance. The issue is expanding and could cause property damage or a public health problem if delayed. Children, older people, and daily commuters are particularly affected by the condition.",Waste,High
People living nearby explain that the neighborhood has a complete power outage at the school entrance. The problem is noticeable but services are still available and nobody is at risk. The problem is clearly visible and has been reported with supporting photographs.,Electricity,Low
Residents report that a water pipeline is leaking continuously beside the houses at the bus stand. Residents request routine maintenance because the inconvenience is currently limited. The problem is clearly visible and has been reported with supporting photographs.,Water,Low
The local community has noticed that the entire street has had no water supply since yesterday at the apartment lane. The issue has continued for several days and is affecting normal daily activities. The exact location is marked on the complaint map for the response team.,Water,Medium
"People living nearby explain that the asphalt has collapsed across one side of the road at the market road. People are in immediate danger, emergency access is affected, and the area must be secured now. Nearby residents are requesting inspection, repair, and a status update.",Road,Critical
